id,name,url,description,image,created_at,updated_at
1,"Apartment Therapy | Saving the world, one room at a time",https://www.apartmenttherapy.com/main.rss,"Saving the world, one room at a time",https://f9s4d6u4.rocketcdn.me/wp-content/uploads/2018/10/apartment-therapy-logo-1-1-600x800.png,"2024-03-07 23:53:10.622599","2024-03-07 23:53:10.622599"
2,"The Rundown | Chicago News",https://wbez-rss.streamguys1.com/the-rundown/the-rundown.xml,"In three bite-size episodes every weekday, we'll keep you informed, tickled, geeked, and pondering on Chicago's news, culture and people.",https://podcast-stream.wbez.org/recast/wbez/20230809183250-Podcast-TheRundown-Tile-3000x3000-AM-NPR.png,"2024-03-07 23:56:33.624581","2024-03-07 23:56:33.624581"
